student_id,student_first_name,student_last_name,student_gender,student_date_of_birth,student_phone,student_email,student_password,student_country,student_city,student_address,student_institution_program_id,student_year_number,student_institution_enrollment_date,credit_hour_price
63,Malinde,Baszniak,Female,2/18/1952,815-560-3952,BaszniakMalinde63@Uni.com,Malinde63,United States,Joliet,8074 Ronald Regan Terrace,1,2,5/10/2005,1500
64,Ross,Pankhurst.,Male,10/12/1958,517-655-3585,Pankhurst.Ross64@Uni.com,Ross64,United States,Lansing,67643 Wayridge Hill,1,2,2/21/1994,1500
65,Mary,Gove,Female,8/26/1931,405-904-8236,GoveMary65@Uni.com,Mary65,United States,Oklahoma City,053 Cascade Crossing,1,2,8/7/1987,1500
66,Mill,Juster,Male,6/4/1968,650-610-1569,JusterMill66@Uni.com,Mill66,United States,San Jose,70396 Mitchell Lane,1,2,2/18/2016,1500
67,Dame,Escott,Male,6/25/1911,410-274-8401,EscottDame67@Uni.com,Dame67,United States,Baltimore,20 Goodland Park,1,2,8/13/1924,1500
68,Lezlie,Nuss,Female,4/21/1913,941-180-7076,NussLezlie68@Uni.com,Lezlie68,United States,Naples,8 Reindahl Avenue,1,2,11/14/1926,1500
69,Elvira,Leasor,Female,1/4/1992,815-254-3872,LeasorElvira69@Uni.com,Elvira69,United States,Rockford,03996 Vermont Lane,1,2,12/22/2007,1500
70,Andeee,Carman,Female,3/15/2002,259-976-6232,CarmanAndeee70@Uni.com,Andeee70,United Kingdom,Aberdeen,64914 Iowa Hill,1,2,6/8/2001,1500
71,Kory,Bengochea,Male,1/23/1940,717-425-4117,BengocheaKory71@Uni.com,Kory71,United States,Harrisburg,1009 Lyons Circle,1,2,1/19/2016,1500
72,Yvon,Goch,Male,12/25/2012,917-703-2439,GochYvon72@Uni.com,Yvon72,United States,Bronx,0 Lighthouse Bay Court,1,2,1/29/1975,1500
73,Raymond,Ferrick,Male,11/21/1937,217-151-4316,FerrickRaymond73@Uni.com,Raymond73,United States,Springfield,9 Moland Terrace,1,2,5/10/1921,1500
74,Findlay,Dibben,Male,12/15/1906,916-903-5759,DibbenFindlay74@Uni.com,Findlay74,United States,Sacramento,328 Glacier Hill Center,1,2,10/30/1931,1500
75,Laurene,Fausch,Female,1/24/1950,408-343-2807,FauschLaurene75@Uni.com,Laurene75,United States,San Jose,45416 Rieder Point,1,2,11/21/2006,1500
76,Merissa,O'Neil,Female,2/25/1938,408-883-1603,O'NeilMerissa76@Uni.com,Merissa76,United States,San Jose,227 Florence Crossing,1,2,6/7/1904,1500
77,Zonnya,Scarrott,Female,12/20/1997,521-431-3442,ScarrottZonnya77@Uni.com,Zonnya77,United Kingdom,Glasgow,9194 North Terrace,1,2,2/3/2001,1500
78,Nydia,Stannas,Female,5/3/1972,636-106-4680,StannasNydia78@Uni.com,Nydia78,United States,Saint Louis,6390 Schiller Court,1,2,6/3/1907,1500
79,Lyndsey,Bredee,Female,10/17/1990,626-397-6542,BredeeLyndsey79@Uni.com,Lyndsey79,United States,Corona,42 Glendale Parkway,1,2,1/1/2008,1500
80,Raynell,Frankish,Female,7/10/2013,942-126-1358,FrankishRaynell80@Uni.com,Raynell80,United Kingdom,Denton,6 Crescent Oaks Circle,1,2,8/5/2010,1500
81,Dex,Kimpton,Male,12/15/1989,321-411-1099,KimptonDex81@Uni.com,Dex81,United States,Melbourne,3700 Thierer Street,1,2,8/26/1981,1500
82,Mahmud,Coppin,Male,12/19/1995,717-438-3892,CoppinMahmud82@Uni.com,Mahmud82,United States,Harrisburg,67 Magdeline Parkway,1,2,10/6/1930,1500
83,Gabriell,Giggie,Female,10/12/1970,916-533-2066,GiggieGabriell83@Uni.com,Gabriell83,United States,Sacramento,261 Duke Court,1,2,3/30/1983,1500
84,Thomasin,Cockayne,Female,5/7/1933,770-967-2600,CockayneThomasin84@Uni.com,Thomasin84,United States,Atlanta,64937 Mitchell Park,1,2,12/16/1961,1500
85,Almeda,Kubalek,Female,11/23/2022,773-831-6606,KubalekAlmeda85@Uni.com,Almeda85,United States,Chicago,59 Stephen Court,1,2,3/23/1972,1500
86,Roi,Martinet,Male,12/29/1933,704-149-7206,MartinetRoi86@Uni.com,Roi86,United States,Charlotte,82 Morrow Place,1,2,10/13/1922,1500
87,Halie,Artis,Female,10/9/1921,404-109-2361,ArtisHalie87@Uni.com,Halie87,United States,Atlanta,69790 Old Gate Lane,1,2,11/30/2019,1500
88,Nevsa,Klawi,Female,9/1/2019,239-205-2744,KlawiNevsa88@Uni.com,Nevsa88,United States,Naples,4 Meadow Valley Parkway,1,2,1/22/1958,1500
89,Loretta,Spillman,Female,5/14/1900,704-528-0992,SpillmanLoretta89@Uni.com,Loretta89,United States,Charlotte,73 Katie Circle,1,2,2/22/1910,1500
90,Sansone,Abrahmson,Male,11/22/2006,202-449-7974,AbrahmsonSansone90@Uni.com,Sansone90,United States,Washington,3 Kropf Street,1,2,7/6/1992,1500
91,Selene,Prover,Female,11/27/1979,302-390-3720,ProverSelene91@Uni.com,Selene91,United States,Wilmington,8 Northridge Drive,1,2,10/6/2019,1500
92,Vonnie,Rodenhurst,Female,10/9/1917,214-266-1448,RodenhurstVonnie92@Uni.com,Vonnie92,United States,Dallas,685 Lerdahl Junction,1,2,4/24/1924,1500
93,Cordie,Josephsen,Male,6/23/1963,803-867-4690,JosephsenCordie93@Uni.com,Cordie93,United States,Columbia,61593 Clove Road,1,2,12/17/1917,1500
94,Knox,Korbmaker,Male,1/5/1984,602-798-2937,KorbmakerKnox94@Uni.com,Knox94,United States,Chandler,602 Eliot Parkway,1,2,4/2/1961,1500
95,Archambault,Bein,Male,4/15/1987,917-869-3394,BeinArchambault95@Uni.com,Archambault95,United States,New York City,128 Almo Place,1,2,2/26/2010,1500
96,Margarette,Shirlaw,Female,9/27/1992,570-440-9750,ShirlawMargarette96@Uni.com,Margarette96,United States,Scranton,399 Macpherson Pass,1,2,10/15/1969,1500
97,Ronnie,Giamitti,Female,1/10/1952,914-357-2824,GiamittiRonnie97@Uni.com,Ronnie97,United States,Yonkers,03 Corscot Circle,1,2,9/26/1942,1500
98,Martelle,O' Faherty,Female,5/26/2018,856-132-0056,O' FahertyMartelle98@Uni.com,Martelle98,United Kingdom,Newton,62118 Crescent Oaks Alley,1,2,4/1/1920,1500
99,Dunn,Trewin,Male,12/25/1931,213-432-9440,TrewinDunn99@Uni.com,Dunn99,United States,Los Angeles,2 Dovetail Crossing,1,2,12/20/1963,1500
100,Ned,Pilbeam,Male,4/3/1901,408-891-3597,PilbeamNed100@Uni.com,Ned100,United States,San Jose,690 Golden Leaf Plaza,1,2,5/6/1994,1500
101,Griz,Daburn,Male,2/10/1956,817-323-1273,DaburnGriz101@Uni.com,Griz101,United States,Fort Worth,71054 Rigney Avenue,1,2,3/2/1983,1500
102,Franz,Christie,Male,5/20/1919,760-507-2010,ChristieFranz102@Uni.com,Franz102,United States,Huntington Beach,28011 Heffernan Point,1,2,5/6/1998,1500
103,Shepard,Goldin,Male,3/30/1905,805-679-7452,GoldinShepard103@Uni.com,Shepard103,United States,Santa Barbara,03687 Dexter Street,1,2,5/30/1938,1500
104,Pearla,Banister,Female,3/31/1972,801-942-1458,BanisterPearla104@Uni.com,Pearla104,United States,Salt Lake City,55266 Erie Hill,1,2,12/14/1937,1500
105,Raimondo,Spellworth,Male,4/2/1923,808-170-2196,SpellworthRaimondo105@Uni.com,Raimondo105,United States,Honolulu,7415 Dovetail Alley,1,2,4/28/2005,1500
106,Mahalia,Schistl,Female,3/28/1900,316-167-2983,SchistlMahalia106@Uni.com,Mahalia106,United States,Wichita,77023 Alpine Crossing,1,2,9/30/1974,1500
107,Karil,Troughton,Female,7/5/2001,405-300-5195,TroughtonKaril107@Uni.com,Karil107,United States,Oklahoma City,1 Southridge Hill,1,2,7/17/1946,1500
108,Kerrill,Causnett,Female,9/18/1980,611-860-9530,CausnettKerrill108@Uni.com,Kerrill108,United Kingdom,Burnside,5800 David Place,1,2,12/31/1972,1500
109,Veradis,Sergeant,Female,8/4/1923,702-293-8041,SergeantVeradis109@Uni.com,Veradis109,United States,Las Vegas,77 Anhalt Drive,1,2,4/21/1988,1500
110,Mort,Lyburn,Male,4/6/1983,813-871-9627,LyburnMort110@Uni.com,Mort110,United States,Tampa,3 Fairfield Trail,1,2,4/30/1927,1500
111,Jackqueline,Longland,Female,5/19/2022,732-976-6165,LonglandJackqueline111@Uni.com,Jackqueline111,United States,New Brunswick,8253 Butterfield Junction,1,2,1/30/2015,1500
112,Zulema,Gaspero,Female,7/23/1993,503-836-4460,GasperoZulema112@Uni.com,Zulema112,United States,Portland,18475 Weeping Birch Crossing,1,2,8/16/1907,1500
113,Zebulon,Presland,Male,3/13/1987,585-750-2193,PreslandZebulon113@Uni.com,Zebulon113,United States,Rochester,363 Mosinee Lane,1,2,12/24/2014,1500
114,Hildagarde,Headley,Female,3/25/1905,970-246-1894,HeadleyHildagarde114@Uni.com,Hildagarde114,United States,Greeley,41 Farmco Alley,1,2,9/5/2002,1500
115,Brenden,Tuley,Male,1/20/1971,860-946-7029,TuleyBrenden115@Uni.com,Brenden115,United States,Hartford,4628 Montana Park,1,2,12/13/1999,1500
116,Worden,Vink,Male,7/30/1913,202-485-5453,VinkWorden116@Uni.com,Worden116,United States,Washington,9194 Alpine Park,1,2,10/20/1910,1500
117,Emmey,Sindell,Female,3/13/2004,410-144-0933,SindellEmmey117@Uni.com,Emmey117,United States,Baltimore,94 Sherman Avenue,1,2,2/3/2016,1500
118,Barbabas,Jarvie,Male,9/11/1958,419-786-4510,JarvieBarbabas118@Uni.com,Barbabas118,United States,Hamilton,422 Golf View Crossing,1,2,8/4/1929,1500
119,Jeffry,Benton,Male,9/27/1918,650-700-5599,BentonJeffry119@Uni.com,Jeffry119,United States,Los Angeles,3875 Acker Crossing,1,2,7/31/1982,1500
120,Hugh,Philson,Male,3/5/1963,815-917-2830,PhilsonHugh120@Uni.com,Hugh120,United States,Joliet,105 Lien Park,1,2,5/21/2009,1500
121,Sinclare,Buttfield,Male,8/26/1964,301-908-7314,ButtfieldSinclare121@Uni.com,Sinclare121,United States,Hyattsville,5 Algoma Alley,2,1,12/19/1900,1500
122,Leanna,Hucks,Female,5/21/1926,917-551-1270,HucksLeanna122@Uni.com,Leanna122,United States,Bronx,70231 Meadow Vale Drive,2,1,10/11/1998,1500
123,Panchito,Lemerle,Male,6/6/1909,202-870-3885,LemerlePanchito123@Uni.com,Panchito123,United States,Washington,41 Roxbury Park,2,1,8/6/1978,1500
124,Gardener,Kalkofer,Male,4/27/2002,571-616-7662,KalkoferGardener124@Uni.com,Gardener124,United States,Merrifield,156 Norway Maple Lane,2,1,5/19/1948,1500
125,Issiah,Yitzhok,Male,7/31/1975,615-939-7624,YitzhokIssiah125@Uni.com,Issiah125,United Kingdom,Burnside,23 Saint Paul Junction,2,1,6/25/1973,1500
126,Charlene,Cadell,Female,10/1/1987,305-561-8047,CadellCharlene126@Uni.com,Charlene126,United States,Miami,9 Esker Crossing,2,1,3/11/1928,1500
127,Winslow,Agent,Male,10/5/1937,516-748-0117,AgentWinslow127@Uni.com,Winslow127,United States,Hicksville,79 Havey Terrace,2,1,11/9/1996,1500
128,Lockwood,McAuliffe,Male,12/18/1904,915-195-9693,McAuliffeLockwood128@Uni.com,Lockwood128,United States,El Paso,4 Vernon Hill,2,1,8/19/1946,1500
129,Kore,McNeely,Female,3/14/1909,661-253-0639,McNeelyKore129@Uni.com,Kore129,United States,Bakersfield,08 Shelley Terrace,2,1,5/15/2002,1500
130,Darrelle,Marquiss,Female,8/13/1957,770-733-7127,MarquissDarrelle130@Uni.com,Darrelle130,United States,Lawrenceville,170 Westerfield Place,2,1,5/29/1949,1500
131,Fonsie,Wagnerin,Male,2/2/1950,202-826-7626,WagnerinFonsie131@Uni.com,Fonsie131,United States,Washington,8 Pennsylvania Center,2,1,8/10/1994,1500
132,Arri,Lytle,Male,5/23/1908,405-519-0323,LytleArri132@Uni.com,Arri132,United States,Oklahoma City,28 Bartillon Hill,2,1,1/1/1910,1500
133,Mycah,Klaaasen,Male,11/26/1968,504-529-1586,KlaaasenMycah133@Uni.com,Mycah133,United States,New Orleans,52 Mallory Pass,2,1,11/17/2015,1500
134,Evvie,Cummungs,Female,11/27/1987,208-901-4220,CummungsEvvie134@Uni.com,Evvie134,United States,Boise,9 Larry Avenue,2,1,3/24/1985,1500
135,Coral,Whall,Female,6/23/1956,571-271-9413,WhallCoral135@Uni.com,Coral135,United States,Vienna,4 Pawling Alley,2,1,1/17/2011,1500
136,Lanna,Eyam,Female,7/23/1948,601-430-3347,EyamLanna136@Uni.com,Lanna136,United States,Jackson,20 Continental Street,2,1,12/16/1952,1500
137,Gabie,Libbe,Female,9/1/1990,559-914-6027,LibbeGabie137@Uni.com,Gabie137,United States,Fresno,3 Clemons Drive,2,1,4/23/1971,1500
138,Newton,Redolfi,Male,2/18/2021,601-311-1613,RedolfiNewton138@Uni.com,Newton138,United States,Jackson,78 Mesta Way,2,1,7/23/1938,1500
139,Skelly,Morgen,Male,5/5/1970,213-498-7639,MorgenSkelly139@Uni.com,Skelly139,United Kingdom,London,5 Loftsgordon Road,2,1,8/23/1994,1500
140,Fabio,Fransemai,Male,3/22/1951,520-684-1013,FransemaiFabio140@Uni.com,Fabio140,United States,Tucson,59623 High Crossing Lane,2,1,8/9/2004,1500
141,Ellette,Bothams,Female,3/19/2019,317-155-7992,BothamsEllette141@Uni.com,Ellette141,United States,Indianapolis,22188 Scofield Drive,2,1,6/8/2011,1500
142,Waylon,Caswall,Male,4/1/2012,309-838-9328,CaswallWaylon142@Uni.com,Waylon142,United States,Peoria,2 Hovde Point,2,1,6/20/1914,1500
143,Cletus,Ferronel,Male,4/7/1959,818-966-6407,FerronelCletus143@Uni.com,Cletus143,United States,Los Angeles,4 Jenifer Avenue,2,1,7/18/1929,1500
144,Jose,Kochl,Male,12/30/2001,215-603-9895,KochlJose144@Uni.com,Jose144,United States,Philadelphia,7609 6th Junction,2,1,10/20/1977,1500
145,Lazar,Fehely,Male,5/9/1922,585-847-6132,FehelyLazar145@Uni.com,Lazar145,United States,Rochester,43908 Eggendart Crossing,2,1,7/10/1994,1500
146,Stephenie,Sweetman,Female,8/23/1941,205-686-2514,SweetmanStephenie146@Uni.com,Stephenie146,United States,Tuscaloosa,12239 Sutherland Circle,2,1,12/27/2020,1500
147,Moreen,Cleeves,Female,9/26/1953,704-872-8569,CleevesMoreen147@Uni.com,Moreen147,United States,Charlotte,21 Texas Parkway,2,1,9/5/1922,1500
148,Grove,Tubbs,Male,6/19/1904,419-715-2235,TubbsGrove148@Uni.com,Grove148,United States,Toledo,5836 Coolidge Park,2,1,4/19/1901,1500
149,Garv,Card,Male,1/16/2001,313-815-1355,CardGarv149@Uni.com,Garv149,United States,Detroit,09 Columbus Parkway,2,1,8/13/1904,1500
150,Jory,Bartoszinski,Male,6/22/1933,754-479-8015,BartoszinskiJory150@Uni.com,Jory150,United States,Pompano Beach,784 Florence Street,2,1,3/25/2003,1500
151,Erich,Gavrielli,Male,4/1/1907,810-250-3994,GavrielliErich151@Uni.com,Erich151,United States,Detroit,902 Moose Road,2,1,10/23/2003,1500
152,Emanuel,Jacquemy,Male,10/26/1920,212-772-1309,JacquemyEmanuel152@Uni.com,Emanuel152,United States,New York City,580 Mccormick Plaza,2,1,8/24/1972,1500
153,Kingston,Pring,Male,8/29/1952,314-751-5505,PringKingston153@Uni.com,Kingston153,United States,Saint Louis,649 Ludington Terrace,2,1,8/13/1921,1500
154,Prentiss,Cejka,Male,2/17/1949,615-807-1824,CejkaPrentiss154@Uni.com,Prentiss154,United States,Nashville,9926 Basil Plaza,2,1,10/2/1909,1500
155,Elane,Skerratt,Female,10/3/1998,330-247-9143,SkerrattElane155@Uni.com,Elane155,United States,Akron,06 Pine View Trail,2,1,1/29/2005,1500
156,Barry,Ashford,Male,1/5/1930,615-645-7177,AshfordBarry156@Uni.com,Barry156,United States,Nashville,89 Helena Avenue,2,1,10/25/1912,1500
157,Penny,Burras,Male,5/26/1900,405-396-7298,BurrasPenny157@Uni.com,Penny157,United States,Oklahoma City,38 Bellgrove Terrace,2,1,10/23/1900,1500
158,Raff,Loadwick,Male,12/16/1952,402-446-1957,LoadwickRaff158@Uni.com,Raff158,United States,Omaha,599 Reinke Parkway,2,1,2/2/1952,1500
159,Wolfie,Ratke,Male,8/2/1903,310-300-0402,RatkeWolfie159@Uni.com,Wolfie159,United States,Los Angeles,469 Petterle Alley,2,1,5/19/1963,1500
160,Holly-anne,Denerley,Female,1/18/1901,503-566-4704,DenerleyHolly-anne160@Uni.com,Holly-anne160,United States,Portland,8 Paget Road,2,1,3/24/1906,1500
161,Tessi,Renol,Female,2/28/1901,719-863-2087,RenolTessi161@Uni.com,Tessi161,United States,Colorado Springs,21495 Prairieview Parkway,2,1,3/25/1956,1500
162,Gilberto,Luna,Male,11/6/1914,615-857-4264,LunaGilberto162@Uni.com,Gilberto162,United States,Nashville,88 Blaine Street,2,1,9/7/1986,1500
163,Killian,Bockin,Male,9/11/1944,702-433-0018,BockinKillian163@Uni.com,Killian163,United States,Reno,392 Rowland Way,2,1,4/5/2010,1500
